Phone_ID,Doc_ID,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,Action
37,4,0.341,0.256,27.416,-27.113,12.398,-32.96,16.116,0.35736,4,-2.7704,1,0.41784,4.1784,2719.2,0.001,10.352,0.22222,0
37,4,0.913,0.086,21.771,-30.037,9.8778,-33.867,12.495,0.26504,4,-2.83,1,0,156.79,502.37,0.086,9.8778,0.26504,2
37,4,0.733,0.111,10.886,-34.169,26.912,-34.673,16.034,0.99118,2,-0.031436,1,32.122,143.85,263.58,0.111,26.912,0.99118,2
37,4,0.448,0.094,19.151,-34.572,12.7,-36.79,6.8213,0.59647,4,-2.8105,1,17.36,76.638,230.62,0.094,12.7,0.23333,1
37,4,0.519,0.056,27.718,-32.758,14.615,-37.294,13.866,0.67819,4,-2.8083,1,74.821,275.57,993.21,0.056,18.952,0.67819,0
37,4,0.29,0.115,30.137,-30.641,15.825,-35.479,15.108,0.79869,4,-2.8156,1,77.591,132.64,226.95,0.115,15.825,0.79869,2
37,4,1.001,0.091,22.376,-32.355,11.39,-33.967,11.104,0.74862,4,-2.9958,1,63.424,125.94,265.19,0.205,11.39,0.74862,2
37,4,0.287,0.102,31.75,-31.044,20.763,-36.286,12.173,0.57991,4,-2.6965,1,9.5787,114.51,250.79,0.102,22.39,0.55555,2
37,4,1.627,0.103,22.679,-34.27,10.684,-35.379,12.046,0.55388,4,-3.0494,1,12.577,145.03,223.19,0.103,10.684,0.55388,2
37,4,0.22,0.045,12.095,-31.952,16.429,-32.456,4.3633,0.99472,2,-0.11576,1,0,44.209,200.64,0.809,16.429,0.99472,1
37,4,1.907,0.128,10.684,-33.262,29.936,-35.883,19.429,0.99677,2,-0.13529,1,12.095,138.53,192.23,0.128,29.936,0.99677,0
37,4,11.949,0.157,7.1563,-30.944,27.013,-31.75,19.873,0.96582,2,-0.040587,1,12.871,60.555,200.82,0.55,27.013,0.96582,2
37,4,0.323,0.155,30.137,-30.641,16.933,-32.153,13.29,0.74978,4,-3.0276,1,22.25,86.623,164.4,0.155,23.233,0.74747,2
